type,aux info,tag used,org_type,old_label,type_original,area_m2
RES,residential_auxiliary,landuse:residential,RES,Single Family Attached,RES,291.20397592977326
NON_RES,non_residential_auxiliary,landuse:commercial,NON_RES,Retail and Other Commercial,NON_RES,691.1958718371999
NON_RES,non_residential_auxiliary,landuse:commercial,NON_RES,Retail and Other Commercial,NON_RES,1033.0400699789895
NON_RES,non_residential_auxiliary,landuse:commercial,RES,Multifamily,NON_RES,967.0631264484969
NON_RES,non_residential_auxiliary,landuse:commercial,NON_RES,Office,NON_RES,1171.2803677935585
NON_RES,non_residential_auxiliary,landuse:commercial,NON_RES,Office,NON_RES,671.8107042457588
NON_RES,non_residential_auxiliary,landuse:commercial,NON_RES,Retail and Other Commercial,NON_RES,703.1317765488448
NON_RES,non_residential_auxiliary_generic_tag,leisure:water_park,NON_RES,Retail and Other Commercial,NON_RES,49.02238478269123
RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,497.19511828209545
NON_RES,residential_unknown_tag,,NON_RES,Industrial or Utility,RES,3160.400798332543
RES,residential_auxiliary,landuse:residential,RES,Single Family Detached,RES,227.93500935993558
NON_RES,non_residential_auxiliary_generic_tag,leisure:golf_course,NON_RES,Golf Course,NON_RES,1162.008441689641
NON_RES,residential_unknown_tag,,NON_RES,Institutional,RES,1096.2333649495085
NON_RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,1024.5274532668107
NON_RES,non_residential_auxiliary,landuse:retail,NON_RES,Retail and Other Commercial,NON_RES,957.1520508918804
NON_RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,1910.0361342250662
RES,residential_unknown_tag,,RES,Single Family Attached,RES,613.285447274926
NON_RES,residential_unknown_tag,,RES,Multifamily,RES,2765.092666853098
RES,residential_unknown_tag,,RES,Single Family Attached,RES,379.35959191274196
RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,480.4953154265376
RES,residential_unknown_tag,,RES,Single Family Attached,RES,349.0280966650926
RES,residential_unknown_tag,,RES,Single Family Attached,RES,363.1087367314238
RES,residential_unknown_tag,,RES,Single Family Attached,RES,194.82477277253236
NON_RES,non_residential_auxiliary,amenity:bar,NON_RES,Retail and Other Commercial,NON_RES,1125.9685972838754
RES,residential_unknown_tag,,RES,Single Family Attached,RES,357.5092130694655
RES,residential_unknown_tag,,RES,Multifamily,RES,230.49108851168987
RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,795.1119998656293
RES,residential_unknown_tag,,RES,Single Family Attached,RES,263.89696233682804
RES,residential_unknown_tag,,RES,Single Family Attached,RES,433.77413372130525
RES,residential_unknown_tag,,RES,Single Family Attached,RES,343.0720037913868
RES,residential_unknown_tag,,RES,Multifamily,RES,205.54120687103463
RES,residential_unknown_tag,,RES,Single Family Attached,RES,248.0517862730421
NON_RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,1211.0619022675032
RES,residential_unknown_tag,,RES,Single Family Attached,RES,394.8311052119337
RES,residential_unknown_tag,,RES,Single Family Attached,RES,193.58182031440109
RES,residential_unknown_tag,,RES,Single Family Attached,RES,421.9568081483438
RES,residential_unknown_tag,,RES,Multifamily,RES,303.2156344936058
RES,residential_unknown_tag,,RES,Multifamily,RES,203.7022650507739
RES,residential_unknown_tag,,RES,Single Family Attached,RES,345.5546125638307
RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,240.20836891547654
RES,residential_unknown_tag,,RES,Multifamily,RES,132.91748956523804
RES,residential_unknown_tag,,RES,Multifamily,RES,254.97653284942015
RES,residential_unknown_tag,,RES,Single Family Attached,RES,340.97586698551794
RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,360.25081073235935
RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,110.94372790568036
RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,337.9938288306146
RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,771.2191691697922
RES,residential_unknown_tag,,RES,Single Family Attached,RES,377.00697939336357
NON_RES,residential_unknown_tag,,NON_RES,Institutional,RES,7052.3181208045835
RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,483.8380805276038
RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,649.9043903177936
NON_RES,residential_unknown_tag,,RES,Multifamily,RES,1373.3574013826221
RES,residential_unknown_tag,,RES,Multifamily,RES,357.8816261127139
NON_RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,1793.1112143132452
NON_RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,1663.2535037252635
RES,residential_unknown_tag,,RES,Multifamily,RES,456.2854954369097
RES,residential_unknown_tag,,RES,Single Family Attached,RES,511.8949939316358
NON_RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,1208.3547506543227
NON_RES,residential_unknown_tag,,NON_RES,Mixed Use Commercial,RES,1264.5358145984685
NON_RES,residential_unknown_tag,,NON_RES,Mixed Use Commercial,RES,1124.2666496986158
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,Industrial or Utility,NON_RES,2455.8113419690003
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,Industrial or Utility,NON_RES,980.7544955687773
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,Industrial or Utility,NON_RES,925.4430703626772
RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,310.61492216897886
RES,residential_unknown_tag,,NON_RES,Industrial or Utility,RES,318.8685245764337
NON_RES,residential_unknown_tag,,NON_RES,Industrial or Utility,RES,1543.283618445302
RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,145.51370242325706
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,Industrial or Utility,NON_RES,730.3498087800386
NON_RES,residential_unknown_tag,,NON_RES,Mixed Use Industrial,RES,2317.5795205488057
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,Industrial or Utility,NON_RES,659.4526156613064
NON_RES,residential_unknown_tag,,NON_RES,Industrial or Utility,RES,3914.8399538841218
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,Industrial or Utility,NON_RES,1260.614667045025
RES,residential_unknown_tag,,NON_RES,Industrial or Utility,RES,193.51811577633632
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,Industrial or Utility,NON_RES,2254.2967355826363
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,Industrial or Utility,NON_RES,2525.63041625641
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,Industrial or Utility,NON_RES,1106.4486776560047
NON_RES,residential_unknown_tag,,NON_RES,Industrial or Utility,RES,914.0383058868264
RES,residential_unknown_tag,,NON_RES,Retail and Other Commercial,RES,735.3330926161543
NON_RES,non_residential_auxiliary,landuse:industrial,NON_RES,Industrial or Utility,NON_RES,3527.152538190193
