type,aux info,tag used,org_type,old_label
NON_RES,non_residential_auxiliary,landuse:military,NON_RES,ID_COBER=851 | CODE_ABREV=EAI | DESC_COBER=Administrativo Institucional | SIOSE_CODE=EAI(30SNE_25VAP_20EDFea_20ZAU_05OCT)
NON_RES,non_residential_auxiliary,landuse:military,NON_RES,ID_COBER=851 | CODE_ABREV=EAI | DESC_COBER=Administrativo Institucional | SIOSE_CODE=EAI(30SNE_25VAP_20EDFea_20ZAU_05OCT)
NON_RES,non_residential_auxiliary,landuse:military,NON_RES,ID_COBER=851 | CODE_ABREV=EAI | DESC_COBER=Administrativo Institucional | SIOSE_CODE=EAI(30SNE_25VAP_20EDFea_20ZAU_05OCT)
NON_RES,non_residential_auxiliary,landuse:military,NON_RES,ID_COBER=851 | CODE_ABREV=EAI | DESC_COBER=Administrativo Institucional | SIOSE_CODE=EAI(30SNE_25VAP_20EDFea_20ZAU_05OCT)
NON_RES,non_residential_auxiliary,landuse:military,NON_RES,ID_COBER=851 | CODE_ABREV=EAI | DESC_COBER=Administrativo Institucional | SIOSE_CODE=EAI(30SNE_25VAP_20EDFea_20ZAU_05OCT)
NON_RES,non_residential_auxiliary,landuse:military,NON_RES,ID_COBER=851 | CODE_ABREV=EAI | DESC_COBER=Administrativo Institucional | SIOSE_CODE=EAI(30SNE_25VAP_20EDFea_20ZAU_05OCT)
NON_RES,non_residential_auxiliary,landuse:military,NON_RES,ID_COBER=851 | CODE_ABREV=EAI | DESC_COBER=Administrativo Institucional | SIOSE_CODE=EAI(30SNE_25VAP_20EDFea_20ZAU_05OCT)
NON_RES,non_residential_auxiliary_generic_tag,military:range,NON_RES,ID_COBER=851 | CODE_ABREV=EAI | DESC_COBER=Administrativo Institucional | SIOSE_CODE=EAI(30SNE_25VAP_20EDFea_20ZAU_05OCT)
NON_RES,non_residential_auxiliary,landuse:military,NON_RES,ID_COBER=851 | CODE_ABREV=EAI | DESC_COBER=Administrativo Institucional | SIOSE_CODE=EAI(30SNE_25VAP_20EDFea_20ZAU_05OCT)
NON_RES,non_residential_auxiliary,landuse:military,NON_RES,ID_COBER=851 | CODE_ABREV=EAI | DESC_COBER=Administrativo Institucional | SIOSE_CODE=EAI(30SNE_25VAP_20EDFea_20ZAU_05OCT)
NON_RES,non_residential_auxiliary,landuse:military,NON_RES,ID_COBER=851 | CODE_ABREV=EAI | DESC_COBER=Administrativo Institucional | SIOSE_CODE=EAI(30SNE_25VAP_20EDFea_20ZAU_05OCT)
